Date,AWS,R1,R2,R3,R4,R5,R6,R7,R8,R9
2017-07-02 20:00,0,0,0,0,0,0,0.2,0.2,0.4,0.4
2017-07-02 20:10,0,0,0,0,0,0,0,0,0,0
2017-07-02 20:20,0,0,0,0.1,0,0.1,0.2,0,0.1,0.4
2017-07-02 20:30,0.05,0.1,0.4,0.8,0.2,0.2,0.6,0.2,0.4,0.6
2017-07-02 20:40,0.4,3,3,7,2,5,6,1.5,4,4
2017-07-02 20:50,0.15,6,4,5,7,4,5,4,2,8
2017-07-02 21:00,0.15,3,2,5,6,2,4,4,2,2
2017-07-02 21:10,0.2,6,7,9,6,7,8,4,6,5
2017-07-02 21:20,0.15,5,7,1.5,5,6,2,8,4,1.5
2017-07-02 21:30,0.05,4,5,1,3,4,0.6,2,2,1
2017-07-02 21:40,0,0.8,0.8,0,1,1,0.2,1,0.2,0.2
2017-07-02 21:50,0,0,0,0,0,0,0,0,0,0.1
2017-07-02 22:00,0.05,0.2,1,1,0.1,1.5,1.5,0.1,0.4,0.4
2017-07-02 22:10,0.25,0.8,3,6,1.5,4,6,2,3,4
2017-07-02 22:20,0.2,5,3,3,5,4,6,4,4,4
2017-07-02 22:30,0.05,0.2,0.6,1,0.4,1,2,0.2,0.8,4
2017-07-02 22:40,0.05,2,2,3,3,1.5,2,3,1.5,2
2017-07-02 22:50,1.15,10,20,20,2,4,6,0.8,3,7
2017-07-02 23:00,0.65,10,12,18,20,14,20,20,20,20
2017-07-02 23:10,0.65,1.5,3,6,1.5,2,7,2,2,5
2017-07-02 23:20,0.1,2,2,1.5,7,5,5,8,8,9
2017-07-02 23:30,0.05,0.6,1,1.5,0.6,1,1,0.8,0.6,0.8
2017-07-02 23:40,0.05,1.5,2,2,1,0.8,2,0.2,1,1
