Date,AWS,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25
2017-07-02 11:20,0.25,0.2,0.2,0.8,2,5,0.2,0.2,0.4,1.5,9,0.2,0.1,0.4,1,7,0.1,0.1,0.1,1,3,0.1,0.1,0.2,1,3
2017-07-02 11:30,0.25,0.2,0.2,0.2,0.4,3,0.2,0.2,0.4,1.5,4,0.6,0.6,0.6,0.8,2,0.2,0.2,0.8,1,6,0.2,0.8,1.5,5,6
2017-07-02 11:40,0.05,0,0.4,2,5,1.5,0,0.2,1.5,2,2,0,0.2,1,2,3,0,0.2,0.6,4,4,0.1,0.4,1,5,5
2017-07-02 11:50,0.05,10,9,6,8,10,14,14,4,6,8,18,16,5,4,6,18,14,3,3,5,10,10,5,2,5
2017-07-02 12:00,0.05,5,6,4,3,3,5,7,6,3,2,5,6,6,5,3,7,5,7,6,4,8,6,6,7,6
2017-07-02 12:10,0.05,6,5,4,4,3,5,5,4,3,3,4,4,4,3,3,7,7,6,6,2,4,5,6,4,3
2017-07-02 12:20,0,6,6,3,3,1.5,5,5,6,5,2,8,6,5,4,1.5,5,4,3,3,1.5,6,6,3,1,1
2017-07-02 12:30,0,1,0.8,0.6,0.6,0,1.5,0.8,0.8,0.2,0.2,2,2,0.8,0.4,0.1,1,1.5,1.5,0.8,0.1,1,1,0.8,0.2,0.2
2017-07-02 12:40,0.25,0.1,0,0,0,6,0.2,0.1,0,0,5,0.2,0.2,0.2,0.4,1.5,0.2,0.2,0.2,0.8,1.5,0.1,0.1,0.1,0.2,0.4
2017-07-02 12:50,0.05,0,0,0,1.5,1.5,0,0,0,5,2,0,0,0.6,6,1.5,0,0,2,8,2,0,0,6,7,3
2017-07-02 13:00,0.05,0,0,0,4,0.2,0,0,6,1.5,0.1,0,0,5,1,0,0.1,0.4,2,0.4,0,0,0.4,2,1.5,0.4
2017-07-02 13:10,0.05,0.2,0.4,0.6,0.8,2,0,0.4,0.6,0.6,2,0,0,0,0.4,3,0,0,0,0.6,6,0.4,0,0,1,5
2017-07-02 13:20,0,3,3,2,2,1,4,2,3,1.5,0.8,0.8,1,1,1,0.6,1,1,0.8,1,3,0.8,0.6,0.6,2,6
2017-07-02 13:30,0,5,2,0.8,1,1,6,3,1,1,1.5,4,2,2,2,2,5,2,1,2,7,4,2,1,2,7
2017-07-02 13:40,0,3,2,1.5,1.5,1.5,2,2,1,1,1.5,2,2,1,0.8,1,2,1.5,1,2,0.4,1.5,1.5,2,4,0.6
2017-07-02 13:50,0.05,14,12,12,7,3,8,9,12,7,1.5,4,9,10,7,1.5,2,6,5,3,1,1,4,3,2,0.8
2017-07-02 14:00,0,7,20,30,30,8,10,25,25,25,9,25,40,50,50,10,14,20,20,14,2,7,10,6,2,2
2017-07-02 14:10,0,3,4,1,0,0,4,7,1,0.1,0.2,6,7,6,6,3,6,10,14,12,2,8,20,25,30,6
2017-07-02 14:20,0,4,1.5,1,1,1,3,0.6,0.2,0.1,0.1,1.5,0.2,0,0,0,0.8,0.2,0,0,0,0.6,0.1,0,0,0
2017-07-02 14:30,0,6,2,0.8,0.2,0,7,4,1.5,0.4,0,4,3,1.5,0.6,0,4,4,2,0.8,0,5,3,2,0.4,0
2017-07-02 14:40,0,18,12,12,6,4,12,7,12,2,1,7,6,9,2,0.1,4,2,1.5,0.8,0,5,1.5,0.2,0.1,0
2017-07-02 14:50,0.05,10,12,16,16,10,12,12,16,8,3,12,10,14,7,3,10,7,7,4,1.5,12,6,5,2,0.8
2017-07-02 15:00,0,0.8,12,20,12,0.1,1,20,40,4,1,10,30,35,8,3,20,30,30,20,1,12,18,18,10,1.5
2017-07-02 15:10,0,1.5,0.8,1,1.5,1,1,0.8,0.4,0.6,0.8,0.6,1,1,1,1,2,9,7,0.8,2,6,18,14,3,2
2017-07-02 15:20,0,3,2,0.2,0,0,4,3,0,0,0,3,2,0.2,0,2,0.8,0.6,0.4,1,3,1,1,1,1,1.5
2017-07-02 15:30,0.05,0.4,0,0,0,1,0.6,0,0,0,1.5,0.6,0,0,0,0.8,0.4,0,0,0,0.2,0.4,0,0,0.1,0.6
2017-07-02 15:40,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.8,0,0,0,1,3,0
2017-07-02 15:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 16:00,0,1,0.1,0.1,0.1,0,0.6,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 16:10,0,2,0.8,0,0,0,3,0.1,0,0,0,1.5,0.2,0,0,0,0.4,0.1,0,0,0,0.2,0.4,0,0,0
2017-07-02 16:20,0,2,0.2,0.2,0,0,3,0.2,0.4,0,0,2,0.8,0.2,0,0,0.2,0.4,0.8,0.6,0,0.4,0.1,0,0,0
2017-07-02 16:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 16:40,0.05,0,0.4,7,10,10,0,0,1,1,3,0,0,0.8,0.4,0.4,0,0,0.4,0.1,0,0,0,0.2,0,0
2017-07-02 16:50,0.1,1,7,6,5,1.5,0.4,9,5,4,1.5,3,10,12,4,2,9,12,16,4,2,8,10,12,4,1.5
2017-07-02 17:00,0.1,0.4,1.5,3,2,3,0.6,1,2,2,1.5,0.4,1.5,1,1.5,2,1.5,2,2,1,1.5,2,4,3,2,0.8
2017-07-02 17:10,0.7,4,3,3,4,16,3,2,4,8,14,3,2,2,9,12,2,1.5,2,6,12,2,2,2,3,4
2017-07-02 17:20,0.65,0.8,7,7,4,12,1.5,7,6,10,18,2,5,5,12,16,3,5,6,16,10,3,10,18,16,8
2017-07-02 17:30,0,0.6,3,4,6,5,1,4,6,6,3,4,6,5,5,3,2,5,6,5,4,1.5,2,2,5,4
2017-07-02 17:40,0.1,0,0.4,1.5,2,6,0,0.4,2,4,2,0.4,3,3,5,0.6,0.6,4,3,1,0.2,1.5,3,3,1.5,0.2
2017-07-02 17:50,0,0,4,5,3,0,0,3,4,0.8,0,0.8,1.5,2,1,0.6,0.2,0.8,3,1.5,1,0.6,3,7,1.5,2
2017-07-02 18:00,0,0.6,0.2,0,0,0,0,0.6,0,0,0,0.1,1,0.2,0,0,0.1,1.5,0.8,0,0,0.8,1.5,1,0,0
2017-07-02 18:10,0.05,0.8,0.1,0.2,0.6,1,1,0.1,0.2,0.4,1,0.4,0.1,0.1,0.4,1,0,0,0.1,0.4,0.6,0,0,0,0.2,0.6
2017-07-02 18:20,0,0.4,0.4,0.4,0.1,0.1,0.2,0.2,0.2,0,0.4,0.2,0.2,0.1,0.1,0.6,0.2,0.2,0.2,0.6,2,0.2,0.1,0.6,2,2
2017-07-02 18:30,0,2,1.5,0.2,0.2,0,1,0.1,0,0,0,0.2,0,0,0,0,0.2,0,0,0,0.1,0.4,0.1,0,0.2,0.2
2017-07-02 18:40,0,2,0.8,0,0,0,3,1.5,0,0,0,6,1.5,0,0,0,5,0.8,0,0,0.1,3,1,0.2,0,0.4
2017-07-02 18:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0.2,0,0,0,0.2,0.2
2017-07-02 19:00,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.4,0,0,0,0,0.4,0,0,0.2,0.2,0.2
2017-07-02 19:10,0,0,0,0,0.4,0.8,0,0.2,0.6,1,1.5,0,0.4,1.5,1.5,2,0.2,0.4,0.8,1,3,0,0.2,0.4,1,1
2017-07-02 19:20,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.8,0,0,0,1.5,2,0,0.4,0.8,4,10
2017-07-02 19:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2,1
2017-07-02 19:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 19:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0.2,0,0,0,0.1,0.2
2017-07-02 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,0.4,0.4,0.8,0,0.2,0.4,0.6,1
2017-07-02 20:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.2,0,0,0,0.4,0.6
